Celex	Celex	NNP
,	,	,
as	as	RB
to	to	TO
the	the	DT
result	result	NN
to	to	TO
be	be	VB
achieved	achieve	VBN
,	,	,
upon	upon	IN
each	each	DT
Member	Member	NNP
State	State	NNP
to	to	TO
which	which	WDT
it	it	PRP
is	be	VBZ
addressed	address	JJ
,	,	,
but	but	CC
shall	shall	MD
leave	leave	VB
to	to	TO
the	the	DT
national	national	JJ
authorities	authority	NNS
the	the	DT
choice	choice	NN
of	of	IN
form	form	NN
and	and	CC
methods	method	NNS
.	.	.
A	a	DT
European	European	JJ
regulation	regulation	NN
shall	shall	MD
be	be	VB
a	a	DT
non-legislative	non-legislative	JJ
act	act	NN
of	of	IN
general	general	JJ
application	application	NN
for	for	IN
the	the	DT
implementation	implementation	NN
of	of	IN
legislative	legislative	JJ
acts	act	NNS
and	and	CC
of	of	IN
certain	certain	JJ
provisions	provision	NNS
of	of	IN
the	the	DT
Constitution	Constitution	NNP
.	.	.
It	it	PRP
may	may	MD
either	either	RB
be	be	VB
binding	bind	VBN
in	in	IN
its	its	PRP$
entirety	entirety	NN
and	and	CC
directly	directly	RB
applicable	applicable	VB
in	in	IN
all	all	DT
Member	Member	NNP
States	States	NNP
,	,	,
or	or	CC
be	be	VB
binding	binding	RB
,	,	,
as	as	RB
to	to	TO
the	the	DT
result	result	NN
to	to	TO
be	be	VB
achieved	achieve	VBN
,	,	,
upon	upon	IN
each	each	DT
Member	Member	NNP
State	State	NNP
to	to	TO
which	which	WDT
it	it	PRP
is	be	VBZ
addressed	address	JJ
,	,	,
but	but	CC
shall	shall	MD
leave	leave	VB
to	to	TO
the	the	DT
national	national	JJ
authorities	authority	NNS
the	the	DT
choice	choice	NN
of	of	IN
form	form	NN
and	and	CC
methods	method	NNS
.	.	.
A	a	DT
European	European	JJ
decision	decision	NN
shall	shall	MD
be	be	VB
a	a	DT
non-legislative	non-legislative	JJ
act	act	NN
,	,	,
binding	bind	NN
in	in	IN
its	its	PRP$
entirety	entirety	NN
.	.	.
A	a	DT
decision	decision	NN
which	which	WDT
specifies	specify	VBZ
those	those	DT
to	to	TO
whom	whom	WP
it	it	PRP
is	be	VBZ
addressed	address	VBN
shall	shall	MD
be	be	VB
binding	bind	VBN
only	only	RB
on	on	IN
them	them	PRP
.	.	.
Recommendations	recommendation	NNS
and	and	CC
opinions	opinion	NNS
shall	shall	MD
have	have	VB
no	no	DT
binding	binding	NN
force	force	NN
.	.	.
2.	@ord@	CD
When	when	WRB
considering	considering	NN
draft	draft	VBP
legislative	legislative	JJ
acts	act	NNS
,	,	,
the	the	DT
European Parliament	European Parliament	NNP
and	and	CC
the	the	DT
Council	Council	NNP
shall	shall	MD
refrain	refrain	VB
from	from	IN
adopting	adopt	JJ
acts	act	NNS
not	not	RB
provided	provided	VBN
for	for	IN
by	by	IN
the	the	DT
relevant	relevant	JJ
legislative	legislative	JJ
procedure	procedure	NN
in	in	IN
the	the	DT
area	area	NN
in	in	IN
question	question	NN
.	.	.
Article I-34	Article I-34	CD
Legislative	legislative	JJ
acts	act	NNS
1.	@ord@	CD
European	European	JJ
laws	law	NNS
and	and	CC
framework	framework	NN
laws	law	NNS
shall	shall	MD
be	be	VB
adopted	adopt	VBN
,	,	,
on	on	IN
the	the	DT
basis	basis	NN
of	of	IN
proposals	proposal	NNS
from	from	IN
the	the	DT
Commission	Commission	NNP
,	,	,
jointly	jointly	RB
by	by	IN
the	the	DT
European Parliament	European Parliament	NNP
and	and	CC
the	the	DT
Council	Council	NNP
under	under	IN
the	the	DT
ordinary	ordinary	JJ
legislative	legislative	JJ
procedure	procedure	NN
as	as	VBD
set	set	VBN
out	out	IN
in	in	IN
Article III-396	Article III-396	NNP
.	.	.
If	if	IN
the	the	DT
two	two	CD
institutions	institution	NNS
cannot	cannot	VBD
reach	reach	JJ
agreement	agreement	NN
on	on	IN
an	an	DT
act	act	NN
,	,	,
it	it	PRP
shall	shall	MD
not	not	RB
be	be	VB
adopted.2	adopted.2	JJ
.	.	.
In	in	IN
the	the	DT
specific	specific	JJ
cases	case	NNS
provided	provided	VBD
for	for	IN
in	in	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
European	European	JJ
laws	law	NNS
and	and	CC
framework	framework	NN
laws	law	NNS
shall	shall	MD
be	be	VB
adopted	adopt	VBN
by	by	IN
the	the	DT
European Parliament	European Parliament	NN
with	with	IN
the	the	DT
participation	participation	NN
of	of	IN
the	the	DT
Council	Council	NNP
,	,	,
or	or	CC
by	by	IN
the	the	DT
latter	latter	NN
with	with	IN
the	the	DT
participation	participation	NN
of	of	IN
the	the	DT
European Parliament	European Parliament	NNP
,	,	,
in	in	IN
accordance	accordance	NN
with	with	IN
special	special	JJ
legislative	legislative	JJ
procedures.3	procedures.3	NN
.	.	.
In	in	IN
the	the	DT
specific	specific	JJ
cases	case	NNS
provided	provided	VBD
for	for	IN
in	in	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
European	European	JJ
laws	law	NNS
and	and	CC
framework	framework	NN
laws	law	NNS
may	may	MD
be	be	VB
adopted	adopt	VBN
at	at	IN
the	the	DT
initiative	initiative	NN
of	of	IN
a	a	DT
group	group	NN
of	of	IN
Member States	Member States	NNP
or	or	NN
of	of	IN
the	the	DT
European	European	NNP
Parliament	Parliament	NNP
,	,	,
on	on	IN
a	a	DT
recommendation	recommendation	NN
from	from	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
or	or	CC
at	at	IN
the	the	DT
request	request	NN
of	of	IN
the	the	DT
Court	Court	NNP
of	of	IN
Justice	Justice	NNP
or	or	CC
the	the	DT
European	European	NNP
Investment	Investment	NNP
Bank	Bank	NNP
.	.	.
Article I-35	Article I-35	CD
Non-legislative	Non-legislative	JJ
acts	act	NNS
1.	@ord@	CD
The	the	DT
European	European	NNP
Council	Council	NNP
shall	shall	MD
adopt	adopt	VB
European	European	JJ
decisions	decision	NNS
in	in	IN
the	the	DT
cases	case	NNS
provided	provided	VBD
for	for	IN
in	in	IN
the	the	DT
Constitution.2	Constitution.2	NNP
.	.	.
The	the	DT
Council	Council	NNP
and	and	CC
the	the	DT
Commission	Commission	NNP
,	,	,
in	in	IN
particular	particular	JJ
in	in	IN
the	the	DT
cases	case	NNS
referred	refer	VBD
to	to	NNS
in	in	IN
articles	article	NNS
I-36	I-36	NNP
and I-37	and I-37	NNP
,	,	,
and	and	CC
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
in	in	IN
the	the	DT
specific	specific	JJ
cases	case	NNS
provided	provided	VBD
for	for	IN
in	in	IN
the	the	DT
constitution	constitution	NN
,	,	,
shall	shall	MD
adopt	adopt	VB
European	European	JJ
regulations	regulation	NNS
and	and	CC
decisions.3	decisions.3	CD
.	.	.
The	the	DT
Council	Council	NNP
shall	shall	MD
adopt	adopt	VB
recommendations	recommendation	NNS
.	.	.
It	it	PRP
shall	shall	MD
act	act	VB
on	on	IN
a	a	DT
proposal	proposal	NN
from	from	IN
the	the	DT
Commission	Commission	NNP
in	in	IN
all	all	DT
cases	case	NNS
where	where	WRB
the	the	DT
Constitution	Constitution	NNP
provides	provide	VBZ
that	that	IN
it	it	PRP
shall	shall	MD
adopt	adopt	VB
acts	act	NNS
on	on	IN
a	a	DT
proposal	proposal	NN
from	from	IN
the	the	DT
Commission	Commission	NNP
.	.	.
It	it	PRP
shall	shall	MD
act	act	VB
unanimously	unanimously	RB
in	in	IN
those	those	DT
areas	area	NNS
in	in	IN
which	which	WDT
unanimity	unanimity	NN
is	be	VBZ
required	require	VBN
for	for	IN
the	the	DT
adoption	adoption	NN
of	of	IN
a	a	DT
Union	Union	JJ
act	act	NN
.	.	.
The	the	DT
Commission	Commission	NNP
,	,	,
and	and	CC
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
in	in	IN
the	the	DT
specific	specific	JJ
cases	case	NNS
provided	provided	VBD
for	for	IN
in	in	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
shall	shall	MD
adopt	adopt	VB
recommendations	recommendation	NNS
.	.	.
Article I-36	Article I-36	CD
Delegated	delegate	JJ
European	European	JJ
regulations	regulation	NNS
1.	@ord@	CD
European	European	JJ
laws	law	NNS
and	and	CC
framework	framework	NN
laws	law	NNS
may	may	MD
delegate	delegate	VB
to	to	TO
the	the	DT
Commission	Commission	FW
the	the	DT
power	power	NN
to	to	TO
adopt	adopt	VB
delegated	delegate	JJ
European	European	JJ
regulations	regulation	NNS
to	to	TO
supplement	supplement	VB
or	or	CC
amend	amend	VB
certain	certain	JJ
non-essential	non-essential	JJ
elements	element	NNS
of	of	IN
the	the	DT
law	law	NN
or	or	CC
framework	framework	JJ
law	law	NN
.	.	.
The	the	DT
objectives	objective	NNS
,	,	,
content	content	NN
,	,	,
scope	scope	NN
and	and	CC
duration	duration	NN
of	of	IN
the	the	DT
delegation	delegation	NN
of	of	IN
power	power	NN
shall	shall	MD
be	be	VB
explicitly	explicitly	RB
defined	define	VBN
in	in	IN
the	the	DT
European	European	JJ
laws	law	NNS
and	and	CC
framework	framework	NN
laws	law	NNS
.	.	.
The	the	DT
essential	essential	JJ
elements	element	NNS
of	of	IN
an	an	DT
area	area	NN
shall	shall	MD
be	be	VB
reserved	reserve	VBN
for	for	IN
the	the	DT
European	European	JJ
law	law	NN
or	or	CC
framework	framework	JJ
law	law	NN
and	and	CC
accordingly	accordingly	RB
shall	shall	MD
not	not	RB
be	be	VB
the	the	DT
subject	subject	NN
of	of	IN
a	a	DT
delegation	delegation	NN
of	of	IN
power	power	NN
.	.	.
2.	@ord@	CD
European	European	JJ
laws	law	NNS
and	and	CC
framework	framework	NN
laws	law	NNS
shall	shall	MD
explicitly	explicitly	RB
lay	lay	VB
down	down	IN
the	the	DT
conditions	condition	NNS
to	to	TO
which	which	VB
the	the	DT
delegation	delegation	NN
is	be	VBZ
subject	subject	JJ
;	;	:
these	these	DT
conditions	condition	NNS
may	may	MD
be	be	VB
as	as	RB
follows	follow	VBZ
:	:	:
(	(	(
a	a	NN
)	)	)
the	the	DT
European Parliament	European Parliament	NN
or	or	CC
the	the	DT
Council	Council	NNP
may	may	MD
decide	decide	VB
to	to	TO
revoke	revoke	VB
the	the	DT
delegation	delegation	NN
;	;	NN
(	(	(
b	b	NN
)	)	)
the	the	DT
delegated	delegate	JJ
European	European	JJ
regulation	regulation	NN
may	may	MD
enter	enter	VB
into	into	IN
force	force	NN
only	only	RB
if	if	IN
no	no	DT
objection	objection	NN
has	have	VBZ
been	be	VBN
expressed	express	VBN
by	by	IN
the	the	DT
European Parliament	European Parliament	NNP
or	or	CC
the	the	DT
Council	Council	NNP
within	within	IN
a	a	DT
period	period	NN
set	set	VBN
by	by	IN
the	the	DT
European	European	JJ
law	law	NN
or	or	CC
framework	framework	JJ
law	law	NN
.	.	.
For	for	IN
the	the	DT
purposes	purpose	NNS
of	of	IN
(	(	NN
a	a	NN
)	)	NN
and	and	CC
(	(	(
b	b	NN
)	)	)
,	,	,
the	the	DT
European Parliament	European Parliament	NNP
shall	shall	MD
act	act	VB
by	by	IN
a	a	DT
majority	majority	NN
of	of	IN
its	its	PRP$
component	component	JJ
members	member	NNS
,	,	,
and	and	CC
the	the	DT
Council	Council	NNP
by	by	IN
a	a	DT
qualified	qualified	JJ
majority	majority	NN
.	.	.
Article I-37	Article I-37	CD
Implementing	implement	JJ
acts	act	NNS
1.	@ord@	CD
Member	Member	NNP
States	States	NNP
shall	shall	MD
adopt	adopt	VB
all	all	DT
measures	measure	NNS
of	of	IN
national	national	JJ
law	law	NN
necessary	necessary	NN
to	to	TO
implement	implement	VB
legally	legally	RB
binding	binding	NNP
Union	Union	NNP
acts.2	acts.2	CD
.	.	.
Where	where	WRB
uniform	uniform	JJ
conditions	condition	NNS
for	for	IN
implementing	implement	NN
legally	legally	RB
binding	binding	VBN
Union	Union	NNP
acts	act	NNS
are	be	VBP
needed	need	VBN
,	,	,
those	those	DT
acts	act	NNS
shall	shall	MD
confer	confer	VB
implementing	implement	NN
powers	power	NNS
on	on	IN
the	the	DT
Commission	Commission	NNP
,	,	,
or	or	CC
,	,	NN
in	in	IN
duly	duly	NN
justified	justify	JJ
specific	specific	NN
cases	case	NNS
and	and	CC
in	in	IN
the	the	DT
cases	case	NNS
provided	provided	VBD
for	for	IN
in	in	IN
Article I-40	Article I-40	NNP
,	,	,
on	on	IN
the	the	DT
Council.3	Council.3	NNP
.	.	.
For	for	IN
the	the	DT
purposes	purpose	NNS
of	of	IN
paragraph 2	paragraph 2	CD
,	,	,
European	European	JJ
laws	law	NNS
shall	shall	MD
lay	lay	VB
down	down	RP
in	in	IN
advance	advance	NN
the	the	DT
rules	rule	NNS
and	and	CC
general	general	JJ
principles	principle	NNS
concerning	concern	VBG
mechanisms	mechanism	NN
for	for	IN
control	control	NN
by	by	IN
Member States	Member States	NNP
of	of	IN
the	the	DT
Commission's	Commission's	JJ
exercise	exercise	NN
of	of	IN
implementing	implement	NN
powers.4	powers.4	CD
.	.	.
Union	union	RB
implementing	implement	JJ
acts	act	NNS
shall	shall	MD
take	take	VB
the	the	DT
form	form	NN
of	of	IN
European	European	JJ
implementing	implement	NN
regulations	regulation	NNS
or	or	CC
European	European	JJ
implementing	implement	NN
decisions	decision	NNS
.	.	.
Article I-38	Article I-38	CD
Principles	principle	VBZ
common	common	JJ
to	to	TO
the	the	DT
Union's	Union's	JJ
legal	legal	JJ
acts	act	NNS
1.	@ord@	CD
Where	where	WRB
the	the	DT
Constitution	Constitution	NNP
does	do	VBZ
not	not	RB
specify	specify	VB
the	the	DT
type	type	NN
of	of	IN
act	act	NN
to	to	TO
be	be	VB
adopted	adopt	VBN
,	,	,
the	the	DT
institutions	institution	NNS
shall	shall	MD
select	select	VB
it	it	PRP
on	on	IN
a	a	DT
case-by-case	case-by-case	JJ
basis	basis	NN
,	,	,
in	in	IN
compliance	compliance	NN
with	with	IN
the	the	DT
applicable	applicable	NN
procedures	procedure	NNS
and	and	CC
with	with	VB
the	the	DT
principle	principle	NN
of	of	IN
proportionality	proportionality	NN
referred	refer	VBN
to	to	TO
in	in	IN
Article I-11.2	Article I-11.2	NNP
.	.	.
Legal	legal	JJ
acts	act	NNS
shall	shall	MD
state	state	VB
the	the	DT
reasons	reason	NNS
on	on	IN
which	which	WDT
they	they	PRP
are	be	VBP
based	base	VBN
and	and	CC
shall	shall	MD
refer	refer	RB
to	to	VB
any	any	DT
proposals	proposal	NNS
,	,	,
initiatives	initiative	NNS
,	,	,
recommendations	recommendation	NNS
,	,	,
requests	request	NNS
or	or	CC
opinions	opinion	NNS
required	require	VBN
by	by	IN
the	the	DT
Constitution	Constitution	NNP
.	.	.
Article I-39	Article I-39	CD
Publication	publication	NN
and	and	CC
entry	entry	NN
into	into	IN
force	force	NN
1.	@ord@	CD
European	European	JJ
laws	law	NNS
and	and	CC
framework	framework	NN
laws	law	NNS
adopted	adopt	VBN
under	under	IN
the	the	DT
ordinary	ordinary	JJ
legislative	legislative	JJ
procedure	procedure	NN
shall	shall	MD
be	be	VB
signed	sign	VBN
by	by	IN
the	the	DT
President	President	NNP
of	of	IN
the	the	DT
European Parliament	European Parliament	NNP
and	and	CC
by	by	IN
the	the	DT
President	President	NNP
of	of	IN
the	the	DT
Council	Council	NNP
.	.	.
In	in	IN
other	other	JJ
cases	case	NNS
they	they	PRP
shall	shall	MD
be	be	VB
signed	sign	VBN
by	by	IN
the	the	DT
President	President	NNP
of	of	IN
the	the	DT
institution	institution	NN
which	which	WDT
adopted	adopt	VBD
them	them	PRP
.	.	.
European	European	JJ
laws	law	NNS
and	and	CC
framework	framework	NN
laws	law	NNS
shall	shall	MD
be	be	VB
published	publish	VBN
in	in	IN
the	the	NN
Official	Official	NNP
Journal	Journal	NNP
of	of	IN
the	the	DT
European	European	NNP
Union	Union	NNP
and	and	CC
shall	shall	MD
enter	enter	VB
into	into	IN
force	force	NN
on	on	IN
the	the	DT
date	date	NN
specified	specify	VBN
in	in	IN
them	them	NN
or	or	CC
,	,	NN
in	in	IN
the	the	DT
absence	absence	NN
thereof	thereof	NN
,	,	NN
on	on	IN
the	the	DT
twentieth	twentieth	JJ
day	day	NN
following	follow	VBG
their	their	PRP$
publication	publication	NN
.	.	.
2.	@ord@	CD
European	European	JJ
regulations	regulation	NNS
,	,	,
and	and	CC
European	European	JJ
decisions	decision	NNS
which	which	WDT
do	do	VBP
not	not	RB
specify	specify	VB
to	to	TO
whom	whom	WP
they	they	PRP
are	be	VBP
addressed	address	JJ
,	,	,
shall	shall	MD
be	be	VB
signed	sign	VBN
by	by	IN
the	the	DT
President	President	NNP
of	of	IN
the	the	DT
institution	institution	NN
which	which	WDT
adopted	adopt	VBD
them	them	PRP
.	.	.
European	European	JJ
regulations	regulation	NNS
,	,	,
and	and	CC
European	European	JJ
decisions	decision	NNS
when	when	WRB
the	the	DT
latter	latter	NN
do	do	VB
not	not	RB
specify	specify	VB
to	to	TO
whom	whom	WP
they	they	PRP
are	be	VBP
addressed	address	JJ
,	,	,
shall	shall	MD
be	be	VB
published	publish	VBN
in	in	IN
the	the	NN
Official	Official	NNP
Journal	Journal	NNP
of	of	IN
the	the	DT
European	European	NNP
Union	Union	NNP
and	and	CC
shall	shall	MD
enter	enter	VB
into	into	IN
force	force	NN
on	on	IN
the	the	DT
date	date	NN
specified	specify	VBN
in	in	IN
them	them	NN
or	or	CC
,	,	NN
in	in	IN
the	the	DT
absence	absence	NN
thereof	thereof	NN
,	,	NN
on	on	IN
the	the	DT
twentieth	twentieth	JJ
day	day	NN
following	follow	JJ
that	that	NN
of	of	IN
their	their	PRP$
publication	publication	NN
.	.	.
3.	@ord@	CD
European	European	JJ
decisions	decision	NNS
other	other	JJ
than	than	IN
those	those	DT
referred	refer	VBN
to	to	NN
in	in	IN
paragraph 2	paragraph 2	CD
shall	shall	MD
be	be	VB
notified	notify	VBN
to	to	TO
those	those	DT
to	to	NNS
whom	whom	WP
they	they	PRP
are	be	VBP
addressed	address	JJ
and	and	CC
shall	shall	MD
take	take	VB
effect	effect	NN
upon	upon	IN
such	such	JJ
notification	notification	NN
.	.	.
CHAPTER	chapter	NNP
II	II	NNP
SPECIFIC	specific	NNP
PROVISIONS	provision	NNP
Article I-40	Article I-40	CD
Specific	specific	JJ
provisions	provision	NNS
relating	relate	VBG
to	to	TO
the	the	DT
common	common	JJ
foreign	foreign	NN
and	and	CC
security	security	JJ
policy	policy	NN
1.	@ord@	CD
The	the	DT
European	European	NNP
Union	Union	NNP
shall	shall	MD
conduct	conduct	VB
a	a	DT
common	common	JJ
foreign	foreign	NN
and	and	CC
security	security	JJ
policy	policy	NN
,	,	,
based	base	VBN
on	on	IN
the	the	DT
development	development	NN
of	of	IN
mutual	mutual	JJ
political	political	JJ
solidarity	solidarity	NN
among	amongst	IN
Member States	Member States	NNS
,	,	,
the	the	DT
identification	identification	NN
of	of	IN
questions	question	NNS
of	of	IN
general	general	JJ
interest	interest	NN
and	and	CC
the	the	DT
achievement	achievement	NN
of	of	IN
an	an	DT
ever-increasing	ever-increase	JJ
degree	degree	NN
of	of	IN
convergence	convergence	NN
of	of	IN
Member States	Member States	NNP
'	'	POS
actions.2	actions.2	CD
.	.	.
The	the	DT
European Council	European Council	NN
shall	shall	MD
identify	identify	VB
the	the	DT
Union's	Union's	JJ
strategic	strategic	JJ
interests	interest	NNS
and	and	CC
determine	determine	VBP
the	the	DT
objectives	objective	NNS
of	of	IN
its	its	PRP$
common	common	JJ
foreign	foreign	JJ
and	and	CC
security	security	JJ
policy	policy	NN
.	.	.
The	the	DT
Council	Council	NNP
shall	shall	MD
frame	frame	VB
this	this	DT
policy	policy	NN
within	within	IN
the	the	DT
framework	framework	NN
of	of	IN
the	the	DT
strategic	strategic	JJ
guidelines	guideline	NNS
established	establish	VBN
by	by	IN
the	the	DT
European Council	European Council	NNP
and	and	CC
in	in	IN
accordance	accordance	NN
with	with	IN
Part III.3	Part III.3	NNP
.	.	.
The	the	DT
European Council	European Council	NNP
and	and	CC
the	the	DT
Council	Council	NNP
shall	shall	MD
adopt	adopt	VB
the	the	DT
necessary	necessary	JJ
European	European	JJ
decisions.4	decisions.4	CD
.	.	.
The	the	DT
common	common	JJ
foreign	foreign	NN
and	and	CC
security	security	NN
policy	policy	NN
shall	shall	MD
be	be	VB
put	put	VBN
into	into	IN
effect	effect	NN
by	by	IN
the	the	DT
Union Minister	Union Minister	NNP
for	for	IN
Foreign Affairs	Foreign Affairs	NNP
and	and	CC
by	by	IN
the	the	DT
Member States	Member States	NNP
,	,	,
using	use	VBG
national	national	JJ
and	and	CC
Union	Union	NNP
resources.5	resources.5	CD
.	.	.
Member States	Member States	NNS
shall	shall	MD
consult	consult	VB
one	one	CD
another	another	NN
within	within	IN
the	the	DT
European	European	NNP
Council	Council	NNP
and	and	CC
the	the	DT
Council	Council	NNP
on	on	IN
any	any	DT
foreign	foreign	JJ
and	and	CC
security	security	JJ
policy	policy	NN
issue	issue	NN
which	which	WDT
is	be	VBZ
of	of	IN
general	general	JJ
interest	interest	NN
in	in	IN
order	order	NN
to	to	TO
determine	determine	VB
a	a	DT
common	common	JJ
approach	approach	NN
.	.	.
Before	before	IN
undertaking	undertake	VBG
any	any	DT
action	action	NN
on	on	IN
the	the	DT
international	international	JJ
scene	scene	NN
or	or	CC
any	any	DT
commitment	commitment	NN
which	which	WDT
could	could	MD
affect	affect	VB
the	the	DT
Union's	Union's	JJ
interests	interest	NNS
,	,	,
each	each	DT
Member	Member	NNP
State	State	NNP
shall	shall	MD
consult	consult	VB
the	the	DT
others	other	NNS
within	within	IN
the	the	DT
European Council	European Council	NN
or	or	CC
the	the	DT
Council	Council	NNP
.	.	.
Member	Member	NNP
States	States	NNP
shall	shall	MD
ensure	ensure	VB
,	,	,
through	through	IN
the	the	DT
convergence	convergence	NN
of	of	IN
their	their	PRP$
actions	action	NNS
,	,	,
that	that	IN
the	the	DT
Union	Union	NNP
is	be	VBZ
able	able	JJ
to	to	TO
assert	assert	VB
its	its	PRP$
interests	interest	NNS
and	and	CC
values	value	NNS
on	on	IN
the	the	DT
international	international	JJ
scene	scene	NN
.	.	.
Member	Member	NNP
States	States	NNPS
shall	shall	MD
show	show	VB
mutual	mutual	JJ
solidarity.6	solidarity.6	CD
.	.	.
European	European	JJ
decisions	decision	NNS
relating	relate	VBD
to	to	TO
the	the	DT
common	common	JJ
foreign	foreign	NN
and	and	CC
security	security	NN
policy	policy	NN
shall	shall	MD
be	be	VB
adopted	adopt	VBN
by	by	IN
the	the	DT
European	European	NNP
Council	Council	NNP
and	and	CC
the	the	DT
Council	council	NNP
unanimously	unanimously	NN
,	,	,
except	except	IN
in	in	IN
the	the	DT
cases	case	NNS
referred	refer	VBD
to	to	TO
in	in	IN
Part III	Part III	NNP
.	.	.
The	the	DT
European	European	NNP
Council	Council	NNP
and	and	CC
the	the	DT
Council	Council	NNP
shall	shall	MD
act	act	VB
on	on	IN
an	an	DT
initiative	initiative	NN
from	from	IN
a	a	DT
Member State	Member State	NNP
,	,	NN
on	on	IN
a	a	DT
proposal	proposal	NN
from	from	IN
the	the	DT
Union	Union	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
or	or	NN
on	on	IN
a	a	DT
proposal	proposal	NN
from	from	IN
that	that	DT
Minister	Minister	NNP
with	with	IN
the	the	DT
Commission's	Commission's	JJ
support	support	NN
